Year,Rank,Company,Revenue,Profit
1955,1,General Motors,9823.5,806
1955,2,Exxon Mobil,5661.4,584.8
1955,3,U.S. Steel,3250.4,195.4
1955,4,General Electric,2959.1,212.6
1955,5,Esmark,2510.8,19.1
1956,1,General Motors,12443.3,1189.5
1956,2,Exxon Mobil,6272.4,709.3
1956,3,Ford Motor,5594.0,437
1956,4,U.S. Steel,4097.7,370.1
1956,5,Chrysler,3466.2,100.1
1957,1,General Motors,10796.4,847.4
1957,2,Exxon Mobil,7126.9,808.5
1957,3,Ford Motor,4647.0,236.6
1957,4,U.S. Steel,4228.9,348.1
1957,5,General Electric,4090.0,213.8
1958,1,General Motors,10989.8,843.6
1958,2,Exxon Mobil,7830.2,805.2
1958,3,Ford Motor,5771.3,282.8
1958,4,U.S. Steel,4413.8,419.4
1958,5,General Electric,4335.7,247.9
1959,1,General Motors,9522.0,633.6
1959,2,Exxon Mobil,7543.6,562.5
1959,3,Ford Motor,4130.3,95.7
1959,4,General Electric,4120.8,242.9
1959,5,U.S. Steel,3472.2,301.6
1960,1,General Motors,11233.1,873.1
1960,2,Exxon Mobil,7910.7,629.8
1960,3,Ford Motor,5356.9,451.4
1960,4,General Electric,4349.5,280.2
1960,5,U.S. Steel,3643.0,254.6
1961,1,General Motors,12736.0,959
1961,2,Exxon Mobil,8034.7,688.6
1961,3,Ford Motor,5237.9,427.9
1961,4,General Electric,4197.5,200.1
1961,5,U.S. Steel,3698.5,304.2
1962,1,General Motors,11395.9,892.8
1962,2,Exxon Mobil,8437.7,758.1
1962,3,Ford Motor,6709.4,409.6
1962,4,General Electric,4456.8,242.1
1962,5,Mobil,3321.2,211.3
1963,1,General Motors,14640.2,1459.1
1963,2,Exxon Mobil,9536.9,840.9
1963,3,Ford Motor,8089.6,480.7
1963,4,General Electric,4792.7,265.8
1963,5,Mobil,3933.3,242.3
1964,1,General Motors,16494.8,1591.8
1964,2,Exxon Mobil,10264.3,1019.5
1964,3,Ford Motor,8742.5,488.5
1964,4,General Electric,4918.7,270.6
1964,5,Mobil,4352.1,271.9
1965,1,General Motors,16997.0,1734.8
1965,2,Exxon Mobil,10814.7,1050.6
1965,3,Ford Motor,9670.8,505.6
1965,4,General Electric,4941.4,237.3
1965,5,Mobil,4499.4,294.2
1966,1,General Motors,20734.0,2125.6
1966,2,Ford Motor,11536.8,703
1966,3,Exxon Mobil,11471.5,1035.7
1966,4,General Electric,6213.6,355.1
1966,5,Chrysler,5299.9,233.4
1967,1,General Motors,20208.5,1793.4
1967,2,Ford Motor,12240.0,621
1967,3,Exxon Mobil,12191.4,1090.9
1967,4,General Electric,7177.3,338.9
1967,5,Chrysler,5649.5,189.2
1968,1,General Motors,20026.3,1627.3
1968,2,Exxon Mobil,13266.0,1232.3
1968,3,Ford Motor,10515.7,84.1
1968,4,General Electric,7741.2,361.4
1968,5,Chrysler,6213.4,200.4
1969,1,General Motors,22755.4,1731.9
1969,2,Exxon Mobil,14091.3,1276.7
1969,3,Ford Motor,14075.1,626.6
1969,4,General Electric,8381.6,357.1
1969,5,Chrysler,7445.3,290.7
1970,1,General Motors,24295.1,1710.7
1970,2,Exxon Mobil,14929.8,1047.6
1970,3,Ford Motor,14755.6,546.5
